229.48,23.208,2.3691,1.5425
49.093,330.88,2.6374,-1.026
146.35,23.256,2.4375,1.497
60.35,24.366,3.2543,1.5164
317.73,23.592,2.8003,1.5273
78.825,162.87,4.2178,-3.5879
232.31,24.647,3.4476,1.5337
367.31,221.9,4.2633,-4.0401
403.35,24.5,3.419,1.5441
124.87,151.55,4.9563,0.76153
93.189,112.07,6.7961,-2.1651
93.189,112.07,6.7961,-2.7173
127.28,27.463,6.038,1.5707
355.94,230.16,5.9289,-4.1881
293.09,88.885,8.275,-0.40718
424.56,329.53,7.69,-1.5751
459.09,326.3,8.3288,-1.5238
427.16,302.48,9.8938,-2.3431
100.57,159.32,12.593,-2.9124
258.15,154.63,11.562,0.83637
258.15,154.63,11.562,-2.0137
258.15,154.63,11.562,-2.7793
406.86,225.41,14.606,-0.77895
133.17,319.25,17.006,-1.6688
187.79,38.016,15.465,-4.6816
401.16,226.95,15.204,-0.70746
132.99,55.982,26.307,1.5319
355.31,84.843,40.159,-4.6564
44.577,242.34,2.3926,-3.8914
93.597,32.397,2.1901,-3.2026
95.248,25.575,1.807,-3.1924
95.248,25.575,1.807,-3.873
95.697,268.82,1.9447,-2.3006
114.5,191.13,1.9982,-1.9635
116.42,88.244,2.0888,-1.6478
118.94,195.45,2.0448,1.3708
140.03,42.416,1.858,-1.6784
153.21,99.356,2.0387,1.4614
153.21,99.356,2.0387,-3.0681
153.32,274.08,1.9253,-0.16735
173.32,231.73,2.2387,-0.0080078
190.1,262.76,1.8485,-1.9927
194.69,205.8,2.2713,0.41891
194.69,205.8,2.2713,-2.8028
204.18,193.26,1.9416,0.28622
210.65,302.29,2.1367,-4.2798
225.76,114.66,2.1956,-0.81942
229.13,119.13,1.8498,-3.4612
258.03,249.01,1.9294,-0.67324
258.92,214.78,1.9267,0.8612
258.92,214.78,1.9267,-4.1236
291.9,132,2.1328,-3.2226
312.77,299.17,2.0023,0.73079
315.34,143.91,2.2761,-2.0216
315.34,143.91,2.2761,-4.5201
325.43,202.78,1.912,0.81593
325.43,202.78,1.912,-3.6157
331.43,283.33,2.0613,0.42601
388.78,173.09,1.9488,1.1386
403.99,170.82,2.0186,0.87979
425.34,258.75,1.7648,-3.3388
436.47,209.59,2.0184,-3.7967
33.817,173.97,2.7199,-2.9132
69.259,234.92,2.5919,-3.9111
76.816,248.62,2.6628,-2.9014
135.46,134.4,2.5758,1.4603
171.77,118.3,2.8236,-0.88058
187.34,210.49,2.6108,0.24587
190.48,198.64,2.6115,0.26236
192.68,217.43,2.601,1.2916
217.67,270.45,2.4552,0.3446
225.86,155.94,2.6211,0.41622
284.81,176.77,2.3326,-3.3094
288.35,162.17,2.4331,-1.6397
313.3,270.31,2.1981,0.18882
325.88,260.09,2.6577,-3.7863
346.59,332.66,2.3654,1.4803
362.71,183.63,2.7274,0.84489
362.71,183.63,2.7274,-4.2674
369.38,342.06,2.716,-2.9401
385.61,307.42,2.3497,-2.5619
401.32,294.43,2.8237,-3.117
421.95,267.66,2.6349,-2.6235
59.046,285.16,3.4461,-2.8998
66.515,279.55,2.9494,-0.36729
66.515,279.55,2.9494,-2.6413
105.64,142.23,2.9243,-3.541
134.22,142.14,3.5387,1.4627
139.64,102.1,3.0621,-0.94051
139.64,102.1,3.0621,-4.2475
151,261.98,3.2945,-0.047739
167.91,128.07,3.3962,1.4755
198.63,200.26,2.9008,0.31811
293.89,314.14,3.6087,0.13697
295.42,263.15,2.964,-4.4328
300.62,101.46,3.2184,-0.29861
321.43,267.31,3.1548,0.089174
321.43,267.31,3.1548,-2.889
375.16,347.01,3.0637,1.0907
393.59,145.33,3.3014,-0.7762
393.59,145.33,3.3014,-3.3795
455.01,173.81,3.5599,-2.8086
37.747,171.61,4.3506,-3.1335
61.783,322.7,3.8162,-4.1535
100.87,193.04,3.7297,-3.0679
100.87,193.04,3.7297,-3.8889
118.05,229.98,3.9316,0.75649
118.05,229.98,3.9316,-1.9102
142.71,268.01,3.828,-0.096118
151.87,134.73,4.5122,1.4353
152.2,149.35,4.1531,-4.5692
159.83,241.05,3.3919,-3.3313
166.2,229.67,3.6496,-3.2626
170.04,243.61,4.2392,0.15433
170.04,243.61,4.2392,-3.3393
180.42,250.07,3.8532,0.47121
254.63,271.41,4.1406,1.4692
266.22,252.05,3.7474,-1.2461
279.98,249.95,4.4814,-4.0869
330.06,273.99,3.8873,0.42403
372.23,178.71,4.0281,0.97808
40.028,220.15,5.011,-3.2099
291.38,182.47,4.9643,1.3706
326.91,194.36,5.1914,-3.6737
77.347,321.95,6.5569,-4.6104
97.207,65.963,6.5372,-3.0044
